category,region,japaneseName,koreanName,key,referenceSpeciesId,natDex,types,hp,attack,defense,spAttack,spDefense,speed,bst,abilities,genderRatio,heightM,weightKg,catchRate,expYield,eggCycles,friendship,growthRate,eggGroups,cryId,flags,levelUpLearnset,teachableLearnset,eggMoveLearnset,frontPic,backPic,palette,shinyPalette,iconSprite,evolution
regional_form,Alola,コラッタ,꼬렛,SPECIES_RATTATA_ALOLA,956,RATTATA,"DARK,NORMAL",30,56,35,25,35,72,253,"GLUTTONY,HUSTLE,THICK_FAT",PERCENT_FEMALE(50),0.3,3.8,255,51,15,STANDARD_FRIENDSHIP,GROWTH_MEDIUM_FAST,FIELD,RATTATA,isAlolanForm,sRattataAlolaLevelUpLearnset,sRattataAlolaTeachableLearnset,sRattataAlolaEggMoveLearnset,gMonFrontPic_RattataAlola,gMonBackPic_RattataAlola,gMonPalette_RattataAlola,gMonShinyPalette_RattataAlola,gMonIcon_RattataAlola,"{EVO_LEVEL, 20, SPECIES_RATICATE_ALOLA, CONDITIONS({IF_TIME, TIME_NIGHT})}, {EVO_NONE, 0, SPECIES_RATICATE_ALOLA_TOTEM}"
regional_form,Alola,ラッタ,레트라,SPECIES_RATICATE_ALOLA,957,RATICATE,"DARK,NORMAL",75,71,70,40,80,77,413,"GLUTTONY,HUSTLE,THICK_FAT",PERCENT_FEMALE(50),0.7,25.5,127,145,15,STANDARD_FRIENDSHIP,GROWTH_MEDIUM_FAST,FIELD,RATICATE,isAlolanForm,sRaticateAlolaLevelUpLearnset,sRaticateAlolaTeachableLearnset,,gMonFrontPic_RaticateAlola,gMonBackPic_RaticateAlola,gMonPalette_RaticateAlola,gMonShinyPalette_RaticateAlola,gMonIcon_RaticateAlola,
regional_form,Alola,ライチュウ,라이츄,SPECIES_RAICHU_ALOLA,958,RAICHU,"ELECTRIC,PSYCHIC",60,85,50,95,85,110,485,"SURGE_SURFER,NONE,NONE",PERCENT_FEMALE(50),0.7,21,75,(P_UPDATED_EXP_YIELDS >= GEN_8) ? 243 : 218,10,STANDARD_FRIENDSHIP,GROWTH_MEDIUM_FAST,"FIELD,FAIRY",RAICHU,isAlolanForm,sRaichuAlolaLevelUpLearnset,sRaichuAlolaTeachableLearnset,,gMonFrontPic_RaichuAlola,gMonBackPic_RaichuAlola,gMonPalette_RaichuAlola,gMonShinyPalette_RaichuAlola,gMonIcon_RaichuAlola,
regional_form,Alola,サンド,모래두지,SPECIES_SANDSHREW_ALOLA,959,SANDSHREW,"ICE,STEEL",50,75,90,10,35,40,300,"SNOW_CLOAK,NONE,SLUSH_RUSH",PERCENT_FEMALE(50),0.7,40,255,60,20,STANDARD_FRIENDSHIP,GROWTH_MEDIUM_FAST,FIELD,SANDSHREW,isAlolanForm,sSandshrewAlolaLevelUpLearnset,sSandshrewAlolaTeachableLearnset,sSandshrewAlolaEggMoveLearnset,gMonFrontPic_SandshrewAlola,gMonBackPic_SandshrewAlola,gMonPalette_SandshrewAlola,gMonShinyPalette_SandshrewAlola,gMonIcon_SandshrewAlola,"{EVO_ITEM, ITEM_ICE_STONE, SPECIES_SANDSLASH_ALOLA}"
regional_form,Alola,サンドパン,고지,SPECIES_SANDSLASH_ALOLA,960,SANDSLASH,"ICE,STEEL",75,100,120,25,65,65,450,"SNOW_CLOAK,NONE,SLUSH_RUSH",PERCENT_FEMALE(50),1.2,55,90,158,20,STANDARD_FRIENDSHIP,GROWTH_MEDIUM_FAST,FIELD,SANDSLASH,isAlolanForm,sSandslashAlolaLevelUpLearnset,sSandslashAlolaTeachableLearnset,,gMonFrontPic_SandslashAlola,gMonBackPic_SandslashAlola,gMonPalette_SandslashAlola,gMonShinyPalette_SandslashAlola,gMonIcon_SandslashAlola,
regional_form,Alola,ロコン,식스테일,SPECIES_VULPIX_ALOLA,961,VULPIX,ICE,38,41,40,50,65,65,299,"SNOW_CLOAK,NONE,SNOW_WARNING",PERCENT_FEMALE(75),0.6,9.9,190,60,20,STANDARD_FRIENDSHIP,GROWTH_MEDIUM_FAST,FIELD,VULPIX,isAlolanForm,sVulpixAlolaLevelUpLearnset,sVulpixAlolaTeachableLearnset,sVulpixAlolaEggMoveLearnset,gMonFrontPic_VulpixAlola,gMonBackPic_VulpixAlola,gMonPalette_VulpixAlola,gMonShinyPalette_VulpixAlola,gMonIcon_VulpixAlola,"{EVO_ITEM, ITEM_ICE_STONE, SPECIES_NINETALES_ALOLA}"
regional_form,Alola,キュウコン,나인테일,SPECIES_NINETALES_ALOLA,962,NINETALES,"ICE,FAIRY",73,67,75,81,100,109,505,"SNOW_CLOAK,NONE,SNOW_WARNING",PERCENT_FEMALE(75),1.1,19.9,75,177,20,STANDARD_FRIENDSHIP,GROWTH_MEDIUM_FAST,FIELD,NINETALES,isAlolanForm,sNinetalesAlolaLevelUpLearnset,sNinetalesAlolaTeachableLearnset,,gMonFrontPic_NinetalesAlola,gMonBackPic_NinetalesAlola,gMonPalette_NinetalesAlola,gMonShinyPalette_NinetalesAlola,gMonIcon_NinetalesAlola,
regional_form,Alola,ディグダ,디그다,SPECIES_DIGLETT_ALOLA,963,DIGLETT,"GROUND,STEEL",10,55,30,35,45,90,265,"SAND_VEIL,TANGLING_HAIR,SAND_FORCE",PERCENT_FEMALE(50),0.2,1,255,53,20,STANDARD_FRIENDSHIP,GROWTH_MEDIUM_FAST,FIELD,DIGLETT,isAlolanForm,sDiglettAlolaLevelUpLearnset,sDiglettAlolaTeachableLearnset,sDiglettAlolaEggMoveLearnset,gMonFrontPic_DiglettAlola,gMonBackPic_DiglettAlola,gMonPalette_DiglettAlola,gMonShinyPalette_DiglettAlola,gMonIcon_DiglettAlola,"{EVO_LEVEL, 26, SPECIES_DUGTRIO_ALOLA}"
regional_form,Alola,ダグトリオ,닥트리오,SPECIES_DUGTRIO_ALOLA,964,DUGTRIO,"GROUND,STEEL",35,100,60,50,70,110,425,"SAND_VEIL,TANGLING_HAIR,SAND_FORCE",PERCENT_FEMALE(50),0.7,66.6,50,149,20,STANDARD_FRIENDSHIP,GROWTH_MEDIUM_FAST,FIELD,DUGTRIO,isAlolanForm,sDugtrioAlolaLevelUpLearnset,sDugtrioAlolaTeachableLearnset,,gMonFrontPic_DugtrioAlola,gMonBackPic_DugtrioAlola,gMonPalette_DugtrioAlola,gMonShinyPalette_DugtrioAlola,gMonIcon_DugtrioAlola,
regional_form,Alola,ニャース,나옹,SPECIES_MEOWTH_ALOLA,965,MEOWTH,DARK,40,35,35,50,40,90,290,"PICKUP,TECHNICIAN,RATTLED",PERCENT_FEMALE(50),0.4,4.2,255,58,20,STANDARD_FRIENDSHIP,GROWTH_MEDIUM_FAST,FIELD,MEOWTH,isAlolanForm,sMeowthAlolaLevelUpLearnset,sMeowthAlolaTeachableLearnset,sMeowthAlolaEggMoveLearnset,gMonFrontPic_MeowthAlola,gMonBackPic_MeowthAlola,gMonPalette_MeowthAlola,gMonShinyPalette_MeowthAlola,gMonIcon_MeowthAlola,"{EVO_LEVEL, 0, SPECIES_PERSIAN_ALOLA, CONDITIONS({IF_MIN_FRIENDSHIP, FRIENDSHIP_EVO_THRESHOLD})}"
